id,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,genres,production_companies,vote_average,release_year
618,0,13684,Buzzard,Joshua Burge|Joel Potrykus|Teri Ann Nelson|Joe Anderson|Alan Longstreet,https://www.facebook.com/buzzardfilm,Joel Potrykus,The slacker nightmare of your dreams.,hotel|bank|spaghetti|punk|nintendo,"Paranoia forces small-time scam artist Marty to flee his hometown and hide out in a dangerous Detroit. With nothing but a pocket full of bogus checks, his Power Glove, and a bad temper, the horror metal slacker lashes out.",Horror|Comedy|Drama,Sob Noisse Movies,6.1,2015
619,0,0,The Gamechangers,Daniel Radcliffe|Bill Paxton|Joe Dempsie,,Owen Harris,The tale of one of the most controversial video games of all time.,video game|journalist|ghetto|biography|christian,"This 90-minute factual drama goes behind the scenes of the hit video game Grand Theft Auto, arguably the greatest British coding success since Bletchley Park.  The fastest-selling entertainment product in history comes not from Silicon Valley, but is driven by a bunch of British game designers. Friends since their school days, they are led by the game's mastermind-designer, Sam Houser. By 2002, Sam and his creative team have constructed for their fans a vast virtual world, teeming with a high-octane mix of criminal characters, lethal weapons and outrageous storylines. Here you can even shape and sculpt your avatar, crafting their character and appearance to your personal preference.  This drama is for an adult audience and has not been authorised by the producers of Grand Theft Auto. Rather, it is based on court documents and interviews with many of those involved in the real events behind this compelling story.",Drama|TV Movie,BBC Films|British Broadcasting Corporation (BBC)|BBC Scotland,7,2015
620,0,0,Residue,Natalia Tena|Iwan Rheon|Jamie Draven|Danny Webb|Franz Drameh,,Alex Garcia Lopez,,,The government cover-up of the causes behind a massive explosion in a futuristic UK metropolis spur photo journalist Jennifer Preston on to search for the truth and in the process blow open a paranormal phenomenon haunting the city.,Science Fiction|Mystery|Horror|Thriller,Screen Yorkshire|Gloucester Place Films|Green Screen Productions|LWH Entertainment,4.5,2015
621,0,0,All Hallows' Eve 2,,,Antonio Padovan|Bryan Norton|Marc Roussel|Ryan Patch|Jay Holben|Jon Kondelik|James Kondelik|Elias Benavidez|Mike Kochansky|Andreas Borghi,,,A woman finds a VHS tape on her doorstep that shows a series of gruesome tales that could be real. But the true danger is the pumpkin-faced killer that's using the tape to find his next victim.,,Ruthless Pictures|Hollywood Shorts,5,2015
622,0,0,Always Watching: A Marble Hornets Story,Alexandra Breckenridge|Doug Jones|Jake McDorman|Alexandra Holden|Blair Bomar,,James Moran,You shouldn't have looked.,,"A group of student film makers are creating ""Project Marble Hornets"" when the production is interrupted by a series of paranormal events in this tense and shocking horror.",Horror,Good Universe|Mosaic Films|Institution Post,4.2,2015
623,0,0,A Ballerina's Tale,Misty Copeland|Victoria Rowell|Bevy Smith|Deirdre Kelly,http://www.aballerinastale.com/,Nelson George,,,"A feature documentary on African American ballerina Misty Copeland that examines her prodigious rise, her potentially career ending injury alongside themes of race and body image in the elite ballet world.",Documentary,,6,2015
624,0,0,Man vs. Snake,Tim McVey|Dwayne Richard|Tom Asaki|Billy Mitchell|Walter Day,,Tim Kinzy|Andrew Seklir,,video game|games|arcade|nibbler,"1984. One shiny quarter. 44.5 hours of continuous play. The race to be the first gamer in history to score one BILLION points. Until recently, Timothy McVey (not the terrorist) thought he had â€” for all these years â€” held the world record on Nibbler. Note: a Nibbler cabinet will be available in the lobby for the duration of Fantastic Fest for attendees to attempt to break the current world record.",Documentary,,6.8,2015
625,0,732655,Once I Was a Beehive,Paris Warner|Lisa Clark|Hailey Smith|Clare Niederpruem|Barta Heiner,,Maclain Nelson,,,"Comedy - Lane Speer is a 16 year old girl who spends her family vacations camping in the mountains. She takes the memories for granted until she loses her father to an unexpected bout with cancer. Only a year later, as Lane is still reeling from her father's death, he mother remarries a guy that Lane hardly knows. Worst of all, he is a Mormon. To top it off, while they are on their honeymoon, they arrange to have her stay with her Mormon step-aunt who takes her away to a bible-themed girls camp with a bunch of young Mormon girls. Confronted with memories of camping with her family, she tries to find peace with her new surroundings and deal with the death of her father. -  Paris Warner, Lisa Clark, Hailey Smith",Comedy|Drama|Family,Escapology|Main Dog Productions,6.5,2015
626,0,0,John Mulaney: The Comeback Kid,John Mulaney,,Rhys Thomas,,stand up comedy,"Armed with boyish charm and a sharp wit, the former ""SNL"" writer offers sly takes on marriage, his beef with babies and the time he met Bill Clinton.",Comedy,3 Arts Entertainment|Irwin Entertainment,6.7,2015
627,0,0,Meet the Patels,Ravi Patel,,Geeta Patel|Ravi Patel,,woman director,"Finding love is never easy. For Ravi Patel, a first generation Indian-American, the odds are slim. His ideal bride is beautiful, smart, funny, family-oriented, kind andâ€”in keeping with traditionâ€”Indian (though hopefully raised in the US). Oh, and her last name should be Patel because in India, Patels usually marry other Patels. And so at 30, Ravi decides to break up with his American girlfriend (the one who by all accounts is perfect for him except for her red hair and American name) and embark on a worldwide search for another Patel longing to be loved. He enlists the help of his matchmaker mother, attends a convention of Patels living in the US and travels to wedding season in India. Witty, honest and heartfelt, this comedy explores the questions with which we all struggle: What is love? What is happiness? And how in the world do we go about finding them?",Documentary,,6.7,2015
